ImageName,Frame,Timestamp,x,y,w,h
b (5).jpg,0,2024_06_01_15-26-25.948,443,248,69,56
f (4).jpg,0,2024_06_01_15-26-25.949,279,224,68,45
m (2).jpg,0,2024_06_01_15-26-25.951,146,149,64,41
v (4).jpg,0,2024_06_01_15-26-25.953,256,118,64,66
b (4).jpg,0,2024_06_01_15-26-25.955,53,111,43,73
f (2).jpg,0,2024_06_01_15-26-25.956,468,89,52,68
m (2).jpg,0,2024_06_01_15-26-25.957,233,58,69,44
v (3).jpg,0,2024_06_01_15-26-25.958,371,48,69,41
b (4).jpg,0,2024_06_01_15-26-25.959,60,30,69,60
b (2).jpg,1,2024_06_01_15-26-26.861,440,258,61,42
f (5).jpg,1,2024_06_01_15-26-26.861,276,226,60,38
m (2).jpg,1,2024_06_01_15-26-26.863,142,156,58,36
v (4).jpg,1,2024_06_01_15-26-26.864,276,134,44,42
b (4).jpg,1,2024_06_01_15-26-26.865,58,111,38,52
f (5).jpg,1,2024_06_01_15-26-26.865,481,104,39,55
m (3).jpg,1,2024_06_01_15-26-26.866,247,63,58,37
v (4).jpg,1,2024_06_01_15-26-26.867,380,48,69,38
b (4).jpg,1,2024_06_01_15-26-26.868,66,34,72,42
b (1).jpg,2,2024_06_01_15-26-27.387,434,267,52,33
f (3).jpg,2,2024_06_01_15-26-27.388,270,228,50,36
m (2).jpg,2,2024_06_01_15-26-27.390,130,156,57,36
v (3).jpg,2,2024_06_01_15-26-27.392,280,136,56,41
b (1).jpg,2,2024_06_01_15-26-27.393,484,115,35,56
f (3).jpg,2,2024_06_01_15-26-27.394,62,99,34,57
m (3).jpg,2,2024_06_01_15-26-27.395,260,65,53,33
v (3).jpg,2,2024_06_01_15-26-27.396,398,51,50,33
b (2).jpg,2,2024_06_01_15-26-27.398,82,27,59,45
b (5).jpg,3,2024_06_01_15-26-27.922,394,270,56,34
f (1).jpg,3,2024_06_01_15-26-27.923,226,224,67,44
m (2).jpg,3,2024_06_01_15-26-27.923,97,157,60,43
v (3).jpg,3,2024_06_01_15-26-27.924,312,146,56,38
b (2).jpg,3,2024_06_01_15-26-27.926,484,144,42,61
f (1).jpg,3,2024_06_01_15-26-27.933,64,64,49,60
m (3).jpg,3,2024_06_01_15-26-27.934,288,60,61,44
v (4).jpg,3,2024_06_01_15-26-27.935,434,56,48,46
b (1).jpg,3,2024_06_01_15-26-27.936,112,22,60,36
b (5).jpg,4,2024_06_01_15-26-28.461,362,260,58,36
f (1).jpg,4,2024_06_01_15-26-28.464,193,231,63,41
m (2).jpg,4,2024_06_01_15-26-28.465,483,183,40,53
v (3).jpg,4,2024_06_01_15-26-28.467,352,144,62,36
b (1).jpg,4,2024_06_01_15-26-28.468,67,134,54,50
f (4).jpg,4,2024_06_01_15-26-28.469,458,69,47,58
m (2).jpg,4,2024_06_01_15-26-28.469,327,56,61,40
v (4).jpg,4,2024_06_01_15-26-28.470,84,38,48,58
b (2).jpg,4,2024_06_01_15-26-28.471,149,24,67,40
b (5).jpg,5,2024_06_01_15-26-28.999,332,245,55,47
f (2).jpg,5,2024_06_01_15-26-29.000,160,240,61,39
m (3).jpg,5,2024_06_01_15-26-29.001,464,219,42,49
v (3).jpg,5,2024_06_01_15-26-29.002,384,135,57,35
b (5).jpg,5,2024_06_01_15-26-29.003,481,104,39,56
f (3).jpg,5,2024_06_01_15-26-29.003,56,104,41,62
m (2).jpg,5,2024_06_01_15-26-29.004,359,50,64,39
v (3).jpg,5,2024_06_01_15-26-29.006,180,32,63,41
b (2).jpg,5,2024_06_01_15-26-29.008,109,24,59,47
b (5).jpg,6,2024_06_01_15-26-29.531,126,241,58,35
f (3).jpg,6,2024_06_01_15-26-29.533,438,239,53,54
m (3).jpg,6,2024_06_01_15-26-29.533,293,232,69,40
v (4).jpg,6,2024_06_01_15-26-29.534,488,139,36,53
b (4).jpg,6,2024_06_01_15-26-29.535,416,127,64,41
f (3).jpg,6,2024_06_01_15-26-29.536,52,74,40,53
m (2).jpg,6,2024_06_01_15-26-29.537,399,49,57,34
v (4).jpg,6,2024_06_01_15-26-29.538,213,44,59,44
b (4).jpg,6,2024_06_01_15-26-29.539,140,20,62,39
b (5).jpg,7,2024_06_01_15-26-30.067,404,269,54,34
f (3).jpg,7,2024_06_01_15-26-30.068,264,229,56,35
m (3).jpg,7,2024_06_01_15-26-30.069,100,224,45,48
v (3).jpg,7,2024_06_01_15-26-30.070,480,168,40,62
b (2).jpg,7,2024_06_01_15-26-30.071,455,128,49,48
f (1).jpg,7,2024_06_01_15-26-30.071,244,63,56,39
m (2).jpg,7,2024_06_01_15-26-30.072,435,56,47,48
v (3).jpg,7,2024_06_01_15-26-30.073,60,45,45,52
b (4).jpg,7,2024_06_01_15-26-30.073,177,22,59,45
b (5).jpg,8,2024_06_01_15-26-30.609,368,271,57,33
f (2).jpg,8,2024_06_01_15-26-30.610,230,224,62,41
m (3).jpg,8,2024_06_01_15-26-30.611,78,204,49,52
v (4).jpg,8,2024_06_01_15-26-30.612,469,200,43,59
b (5).jpg,8,2024_06_01_15-26-30.613,476,149,45,68
f (4).jpg,8,2024_06_01_15-26-30.617,456,69,48,60
m (3).jpg,8,2024_06_01_15-26-30.619,280,65,61,36
v (3).jpg,8,2024_06_01_15-26-30.623,206,36,52,45
b (4).jpg,8,2024_06_01_15-26-30.624,80,24,60,46
b (2).jpg,9,2024_06_01_15-26-31.178,337,258,49,40
f (4).jpg,9,2024_06_01_15-26-31.181,448,231,43,51
m (3).jpg,9,2024_06_01_15-26-31.183,199,231,54,41
v (3).jpg,9,2024_06_01_15-26-31.185,488,183,41,58
b (5).jpg,9,2024_06_01_15-26-31.189,61,169,38,53
f (4).jpg,9,2024_06_01_15-26-31.196,480,104,39,56
m (3).jpg,9,2024_06_01_15-26-31.197,316,57,60,37
v (3).jpg,9,2024_06_01_15-26-31.199,232,57,45,54
b (4).jpg,9,2024_06_01_15-26-31.200,112,21,57,39
b (5).jpg,10,2024_06_01_15-26-31.730,408,258,64,44
f (1).jpg,10,2024_06_01_15-26-31.731,165,240,54,36
m (3).jpg,10,2024_06_01_15-26-31.732,312,237,50,49
v (4).jpg,10,2024_06_01_15-26-31.733,482,220,46,52
b (2).jpg,10,2024_06_01_15-26-31.734,488,140,32,52
f (1).jpg,10,2024_06_01_15-26-31.734,56,135,35,53
m (2).jpg,10,2024_06_01_15-26-31.735,245,91,41,53
v (3).jpg,10,2024_06_01_15-26-31.736,351,54,59,37
b (4).jpg,10,2024_06_01_15-26-31.738,150,26,57,37
b (5).jpg,11,2024_06_01_15-26-32.261,383,268,57,39
f (4).jpg,11,2024_06_01_15-26-32.262,457,252,53,44
m (2).jpg,11,2024_06_01_15-26-32.265,127,242,57,35
v (4).jpg,11,2024_06_01_15-26-32.270,304,196,37,56
b (1).jpg,11,2024_06_01_15-26-32.270,482,170,38,54
f (3).jpg,11,2024_06_01_15-26-32.271,259,120,56,50
m (3).jpg,11,2024_06_01_15-26-32.272,61,102,36,54
v (4).jpg,11,2024_06_01_15-26-32.275,380,48,60,40
b (5).jpg,11,2024_06_01_15-26-32.276,181,32,55,40
b (1).jpg,12,2024_06_01_15-26-32.803,423,265,51,35
f (4).jpg,12,2024_06_01_15-26-32.804,344,261,57,43
m (2).jpg,12,2024_06_01_15-26-32.808,88,229,56,41
v (3).jpg,12,2024_06_01_15-26-32.809,468,200,48,65
b (5).jpg,12,2024_06_01_15-26-32.812,286,138,55,86
f (5).jpg,12,2024_06_01_15-26-32.814,68,64,45,59
m (3).jpg,12,2024_06_01_15-26-32.817,416,50,50,46
v (3).jpg,12,2024_06_01_15-26-32.818,211,49,61,36
b (2).jpg,13,2024_06_01_15-26-33.335,387,267,61,38
f (1).jpg,13,2024_06_01_15-26-33.336,318,246,55,43
m (2).jpg,13,2024_06_01_15-26-33.337,447,232,45,50
v (3).jpg,13,2024_06_01_15-26-33.338,78,203,44,53
b (1).jpg,13,2024_06_01_15-26-33.340,248,153,56,39
f (5).jpg,13,2024_06_01_15-26-33.341,329,148,55,31
m (2).jpg,13,2024_06_01_15-26-33.343,450,70,46,44
v (4).jpg,13,2024_06_01_15-26-33.345,246,64,54,35
b (4).jpg,13,2024_06_01_15-26-33.345,88,47,43,45
b (5).jpg,14,2024_06_01_15-26-33.861,416,258,56,44
f (4).jpg,14,2024_06_01_15-26-33.862,349,256,59,41
m (3).jpg,14,2024_06_01_15-26-33.863,304,200,48,68
v (4).jpg,14,2024_06_01_15-26-33.865,63,170,33,48
b (1).jpg,14,2024_06_01_15-26-33.867,222,147,52,33
f (1).jpg,14,2024_06_01_15-26-33.868,358,140,58,37
m (2).jpg,14,2024_06_01_15-26-33.869,472,88,48,55
v (3).jpg,14,2024_06_01_15-26-33.871,284,64,50,37
b (5).jpg,14,2024_06_01_15-26-33.871,108,24,60,45
b (5).jpg,15,2024_06_01_15-26-34.395,383,270,53,34
f (4).jpg,15,2024_06_01_15-26-34.396,323,244,48,37
m (3).jpg,15,2024_06_01_15-26-34.397,294,180,42,60
v (3).jpg,15,2024_06_01_15-26-34.397,187,144,55,40
b (2).jpg,15,2024_06_01_15-26-34.401,397,137,52,29
f (4).jpg,15,2024_06_01_15-26-34.403,59,134,33,55
m (3).jpg,15,2024_06_01_15-26-34.404,482,120,40,63
v (4).jpg,15,2024_06_01_15-26-34.406,319,58,53,35
b (1).jpg,15,2024_06_01_15-26-34.408,145,20,52,38
b (2).jpg,16,2024_06_01_15-26-34.924,344,261,58,43
f (5).jpg,16,2024_06_01_15-26-34.925,294,227,50,37
m (2).jpg,16,2024_06_01_15-26-34.926,485,162,34,55
v (3).jpg,16,2024_06_01_15-26-34.926,274,157,40,46
b (1).jpg,16,2024_06_01_15-26-34.927,156,151,49,39
f (5).jpg,16,2024_06_01_15-26-34.928,429,128,51,40
m (2).jpg,16,2024_06_01_15-26-34.929,61,101,35,52
v (4).jpg,16,2024_06_01_15-26-34.930,352,52,51,37
b (5).jpg,16,2024_06_01_15-26-34.931,176,23,61,41
b (4).jpg,17,2024_06_01_15-26-35.453,317,245,57,45
f (5).jpg,17,2024_06_01_15-26-35.454,255,224,57,40
m (2).jpg,17,2024_06_01_15-26-35.455,476,193,41,59
v (3).jpg,17,2024_06_01_15-26-35.456,120,160,56,32
b (2).jpg,17,2024_06_01_15-26-35.457,229,144,67,40
f (3).jpg,17,2024_06_01_15-26-35.457,459,134,52,52
m (3).jpg,17,2024_06_01_15-26-35.458,66,63,46,62
v (4).jpg,17,2024_06_01_15-26-35.459,380,48,58,40
b (4).jpg,17,2024_06_01_15-26-35.460,210,36,49,47
b (5).jpg,18,2024_06_01_15-26-35.974,219,229,54,40
f (3).jpg,18,2024_06_01_15-26-35.977,457,225,47,51
m (2).jpg,18,2024_06_01_15-26-35.979,304,216,45,52
v (3).jpg,18,2024_06_01_15-26-35.980,483,160,40,60
b (5).jpg,18,2024_06_01_15-26-35.981,89,152,55,46
f (1).jpg,18,2024_06_01_15-26-35.984,199,148,52,31
m (3).jpg,18,2024_06_01_15-26-35.985,233,56,46,55
v (4).jpg,18,2024_06_01_15-26-35.986,416,51,61,45
b (5).jpg,18,2024_06_01_15-26-35.987,88,47,43,43
b (5).jpg,19,2024_06_01_15-26-36.505,431,252,51,42
f (2).jpg,19,2024_06_01_15-26-36.507,188,232,60,38
m (2).jpg,19,2024_06_01_15-26-36.514,492,198,36,55
v (3).jpg,19,2024_06_01_15-26-36.516,294,175,42,60
b (5).jpg,19,2024_06_01_15-26-36.519,169,147,47,40
f (5).jpg,19,2024_06_01_15-26-36.520,66,128,42,48
m (2).jpg,19,2024_06_01_15-26-36.521,244,88,41,59
v (3).jpg,19,2024_06_01_15-26-36.522,448,70,49,42
b (1).jpg,19,2024_06_01_15-26-36.524,110,24,58,45
b (1).jpg,20,2024_06_01_15-26-37.042,390,269,58,34
f (1).jpg,20,2024_06_01_15-26-37.044,150,240,58,32
m (3).jpg,20,2024_06_01_15-26-37.049,476,228,44,54
v (3).jpg,20,2024_06_01_15-26-37.049,130,158,54,34
b (2).jpg,20,2024_06_01_15-26-37.050,256,126,66,79
f (5).jpg,20,2024_06_01_15-26-37.058,49,97,40,52
m (2).jpg,20,2024_06_01_15-26-37.059,471,88,47,56
v (4).jpg,20,2024_06_01_15-26-37.061,140,20,58,39
b (2).jpg,21,2024_06_01_15-26-37.614,360,268,59,36
f (4).jpg,21,2024_06_01_15-26-37.617,440,256,59,45
m (2).jpg,21,2024_06_01_15-26-37.619,115,235,58,42
v (4).jpg,21,2024_06_01_15-26-37.622,102,160,53,39
b (5).jpg,21,2024_06_01_15-26-37.624,234,144,62,39
f (3).jpg,21,2024_06_01_15-26-37.626,286,143,55,35
m (2).jpg,21,2024_06_01_15-26-37.629,482,120,40,60
v (4).jpg,21,2024_06_01_15-26-37.630,56,64,37,52
b (2).jpg,21,2024_06_01_15-26-37.631,176,23,54,41
f (5).jpg,0,2024_06_01_15-27-20.858,443,248,69,56
m (2).jpg,0,2024_06_01_15-27-20.861,279,224,68,45
v (3).jpg,0,2024_06_01_15-27-20.863,146,149,64,41
b (1).jpg,0,2024_06_01_15-27-20.864,256,118,64,66
f (3).jpg,0,2024_06_01_15-27-20.865,53,111,43,73
m (2).jpg,0,2024_06_01_15-27-20.866,468,89,52,68
v (4).jpg,0,2024_06_01_15-27-20.867,233,58,69,44
b (5).jpg,0,2024_06_01_15-27-20.868,371,48,69,41
f (4).jpg,0,2024_06_01_15-27-20.871,60,30,69,60
f (2).jpg,1,2024_06_01_15-27-21.825,440,258,61,42
m (2).jpg,1,2024_06_01_15-27-21.827,276,226,60,38
v (4).jpg,1,2024_06_01_15-27-21.828,142,156,58,36
b (2).jpg,1,2024_06_01_15-27-21.829,276,134,44,42
f (3).jpg,1,2024_06_01_15-27-21.829,58,111,38,52
m (3).jpg,1,2024_06_01_15-27-21.830,481,104,39,55
v (4).jpg,1,2024_06_01_15-27-21.831,247,63,58,37
b (5).jpg,1,2024_06_01_15-27-21.831,380,48,69,38
f (4).jpg,1,2024_06_01_15-27-21.832,66,34,72,42
f (5).jpg,2,2024_06_01_15-27-22.389,434,267,52,33
m (2).jpg,2,2024_06_01_15-27-22.390,270,228,50,36
v (3).jpg,2,2024_06_01_15-27-22.390,130,156,57,36
b (1).jpg,2,2024_06_01_15-27-22.391,280,136,56,41
f (2).jpg,2,2024_06_01_15-27-22.393,484,115,35,56
m (3).jpg,2,2024_06_01_15-27-22.393,62,99,34,57
v (4).jpg,2,2024_06_01_15-27-22.395,260,65,53,33
b (4).jpg,2,2024_06_01_15-27-22.396,398,51,50,33
f (4).jpg,2,2024_06_01_15-27-22.397,82,27,59,45
f (3).jpg,3,2024_06_01_15-27-22.915,394,270,56,34
m (2).jpg,3,2024_06_01_15-27-22.918,226,224,67,44
v (3).jpg,3,2024_06_01_15-27-22.919,97,157,60,43
b (2).jpg,3,2024_06_01_15-27-22.931,312,146,56,38
f (1).jpg,3,2024_06_01_15-27-22.932,484,144,42,61
m (2).jpg,3,2024_06_01_15-27-22.933,64,64,49,60
v (3).jpg,3,2024_06_01_15-27-22.934,288,60,61,44
b (5).jpg,3,2024_06_01_15-27-22.934,434,56,48,46
f (5).jpg,3,2024_06_01_15-27-22.935,112,22,60,36
f (5).jpg,4,2024_06_01_15-27-23.458,362,260,58,36
m (2).jpg,4,2024_06_01_15-27-23.459,193,231,63,41
v (4).jpg,4,2024_06_01_15-27-23.460,483,183,40,53
b (2).jpg,4,2024_06_01_15-27-23.461,352,144,62,36
f (1).jpg,4,2024_06_01_15-27-23.462,67,134,54,50
m (3).jpg,4,2024_06_01_15-27-23.467,458,69,47,58
v (3).jpg,4,2024_06_01_15-27-23.470,327,56,61,40
b (4).jpg,4,2024_06_01_15-27-23.472,84,38,48,58
f (1).jpg,4,2024_06_01_15-27-23.475,149,24,67,40
f (5).jpg,5,2024_06_01_15-27-24.005,332,245,55,47
m (2).jpg,5,2024_06_01_15-27-24.008,160,240,61,39
v (3).jpg,5,2024_06_01_15-27-24.009,464,219,42,49
b (2).jpg,5,2024_06_01_15-27-24.015,384,135,57,35
f (4).jpg,5,2024_06_01_15-27-24.017,481,104,39,56
m (2).jpg,5,2024_06_01_15-27-24.020,56,104,41,62
v (3).jpg,5,2024_06_01_15-27-24.021,359,50,64,39
b (4).jpg,5,2024_06_01_15-27-24.022,180,32,63,41
f (4).jpg,5,2024_06_01_15-27-24.023,109,24,59,47
f (1).jpg,6,2024_06_01_15-27-24.549,126,241,58,35
m (2).jpg,6,2024_06_01_15-27-24.551,438,239,53,54
v (3).jpg,6,2024_06_01_15-27-24.552,293,232,69,40
b (2).jpg,6,2024_06_01_15-27-24.553,488,139,36,53
f (1).jpg,6,2024_06_01_15-27-24.553,416,127,64,41
m (3).jpg,6,2024_06_01_15-27-24.554,52,74,40,53
v (4).jpg,6,2024_06_01_15-27-24.555,399,49,57,34
b (5).jpg,6,2024_06_01_15-27-24.555,213,44,59,44
f (3).jpg,6,2024_06_01_15-27-24.556,140,20,62,39
f (5).jpg,7,2024_06_01_15-27-25.077,404,269,54,34
m (3).jpg,7,2024_06_01_15-27-25.080,264,229,56,35
v (3).jpg,7,2024_06_01_15-27-25.087,100,224,45,48
b (1).jpg,7,2024_06_01_15-27-25.092,480,168,40,62
f (3).jpg,7,2024_06_01_15-27-25.093,455,128,49,48
m (2).jpg,7,2024_06_01_15-27-25.096,244,63,56,39
v (3).jpg,7,2024_06_01_15-27-25.096,435,56,47,48
b (2).jpg,7,2024_06_01_15-27-25.098,60,45,45,52
f (5).jpg,7,2024_06_01_15-27-25.099,177,22,59,45
f (4).jpg,8,2024_06_01_15-27-25.645,368,271,57,33
m (3).jpg,8,2024_06_01_15-27-25.649,230,224,62,41
v (4).jpg,8,2024_06_01_15-27-25.656,78,204,49,52
b (4).jpg,8,2024_06_01_15-27-25.662,469,200,43,59
f (4).jpg,8,2024_06_01_15-27-25.665,476,149,45,68
m (2).jpg,8,2024_06_01_15-27-25.667,456,69,48,60
v (4).jpg,8,2024_06_01_15-27-25.669,280,65,61,36
b (2).jpg,8,2024_06_01_15-27-25.675,206,36,52,45
f (3).jpg,8,2024_06_01_15-27-25.677,80,24,60,46
f (1).jpg,9,2024_06_01_15-27-26.193,337,258,49,40
m (2).jpg,9,2024_06_01_15-27-26.196,448,231,43,51
v (3).jpg,9,2024_06_01_15-27-26.199,199,231,54,41
b (1).jpg,9,2024_06_01_15-27-26.201,488,183,41,58
f (1).jpg,9,2024_06_01_15-27-26.202,61,169,38,53
m (2).jpg,9,2024_06_01_15-27-26.203,480,104,39,56
v (4).jpg,9,2024_06_01_15-27-26.204,316,57,60,37
b (2).jpg,9,2024_06_01_15-27-26.206,232,57,45,54
f (3).jpg,9,2024_06_01_15-27-26.208,112,21,57,39
f (1).jpg,10,2024_06_01_15-27-26.734,408,258,64,44
m (3).jpg,10,2024_06_01_15-27-26.736,165,240,54,36
v (4).jpg,10,2024_06_01_15-27-26.739,312,237,50,49
b (5).jpg,10,2024_06_01_15-27-26.743,482,220,46,52
f (1).jpg,10,2024_06_01_15-27-26.745,488,140,32,52
m (3).jpg,10,2024_06_01_15-27-26.746,56,135,35,53
v (4).jpg,10,2024_06_01_15-27-26.751,245,91,41,53
b (5).jpg,10,2024_06_01_15-27-26.754,351,54,59,37
f (1).jpg,10,2024_06_01_15-27-26.765,150,26,57,37
f (4).jpg,11,2024_06_01_15-27-27.283,383,268,57,39
m (2).jpg,11,2024_06_01_15-27-27.284,457,252,53,44
v (3).jpg,11,2024_06_01_15-27-27.287,127,242,57,35
b (4).jpg,11,2024_06_01_15-27-27.288,304,196,37,56
f (2).jpg,11,2024_06_01_15-27-27.289,482,170,38,54
m (2).jpg,11,2024_06_01_15-27-27.291,259,120,56,50
v (4).jpg,11,2024_06_01_15-27-27.293,61,102,36,54
b (2).jpg,11,2024_06_01_15-27-27.304,380,48,60,40
f (4).jpg,11,2024_06_01_15-27-27.305,181,32,55,40
m (2).jpg,0,2024_06_01_15-27-37.507,443,248,69,56
v (4).jpg,0,2024_06_01_15-27-37.508,279,224,68,45
b (5).jpg,0,2024_06_01_15-27-37.509,146,149,64,41
f (5).jpg,0,2024_06_01_15-27-37.510,256,118,64,66
m (3).jpg,0,2024_06_01_15-27-37.512,53,111,43,73
v (4).jpg,0,2024_06_01_15-27-37.513,468,89,52,68
b (1).jpg,0,2024_06_01_15-27-37.513,233,58,69,44
f (1).jpg,0,2024_06_01_15-27-37.514,371,48,69,41
m (3).jpg,0,2024_06_01_15-27-37.515,60,30,69,60
m (3).jpg,1,2024_06_01_15-27-38.479,440,258,61,42
v (3).jpg,1,2024_06_01_15-27-38.481,276,226,60,38
b (1).jpg,1,2024_06_01_15-27-38.484,142,156,58,36
f (3).jpg,1,2024_06_01_15-27-38.485,276,134,44,42
m (3).jpg,1,2024_06_01_15-27-38.486,58,111,38,52
v (3).jpg,1,2024_06_01_15-27-38.488,481,104,39,55
b (4).jpg,1,2024_06_01_15-27-38.490,247,63,58,37
f (1).jpg,1,2024_06_01_15-27-38.491,380,48,69,38
m (2).jpg,1,2024_06_01_15-27-38.492,66,34,72,42
m (3).jpg,2,2024_06_01_15-27-39.013,434,267,52,33
v (3).jpg,2,2024_06_01_15-27-39.018,270,228,50,36
b (2).jpg,2,2024_06_01_15-27-39.020,130,156,57,36
f (3).jpg,2,2024_06_01_15-27-39.022,280,136,56,41
m (2).jpg,2,2024_06_01_15-27-39.023,484,115,35,56
v (4).jpg,2,2024_06_01_15-27-39.025,62,99,34,57
b (1).jpg,2,2024_06_01_15-27-39.028,260,65,53,33
f (4).jpg,2,2024_06_01_15-27-39.029,398,51,50,33
m (2).jpg,2,2024_06_01_15-27-39.031,82,27,59,45
m (2).jpg,3,2024_06_01_15-27-39.573,394,270,56,34
v (3).jpg,3,2024_06_01_15-27-39.577,226,224,67,44
b (5).jpg,3,2024_06_01_15-27-39.580,97,157,60,43
f (5).jpg,3,2024_06_01_15-27-39.581,312,146,56,38
m (2).jpg,3,2024_06_01_15-27-39.584,484,144,42,61
v (4).jpg,3,2024_06_01_15-27-39.585,64,64,49,60
b (5).jpg,3,2024_06_01_15-27-39.587,288,60,61,44
f (3).jpg,3,2024_06_01_15-27-39.588,434,56,48,46
m (3).jpg,3,2024_06_01_15-27-39.591,112,22,60,36
m (2).jpg,4,2024_06_01_15-27-40.113,362,260,58,36
v (4).jpg,4,2024_06_01_15-27-40.121,193,231,63,41
b (2).jpg,4,2024_06_01_15-27-40.123,483,183,40,53
f (2).jpg,4,2024_06_01_15-27-40.124,352,144,62,36
m (3).jpg,4,2024_06_01_15-27-40.126,67,134,54,50
v (4).jpg,4,2024_06_01_15-27-40.128,458,69,47,58
b (4).jpg,4,2024_06_01_15-27-40.129,327,56,61,40
f (5).jpg,4,2024_06_01_15-27-40.130,84,38,48,58
m (3).jpg,4,2024_06_01_15-27-40.131,149,24,67,40
m (2).jpg,5,2024_06_01_15-27-40.658,332,245,55,47
v (3).jpg,5,2024_06_01_15-27-40.670,160,240,61,39
b (1).jpg,5,2024_06_01_15-27-40.671,464,219,42,49
f (3).jpg,5,2024_06_01_15-27-40.673,384,135,57,35
m (3).jpg,5,2024_06_01_15-27-40.677,481,104,39,56
v (4).jpg,5,2024_06_01_15-27-40.681,56,104,41,62
b (5).jpg,5,2024_06_01_15-27-40.685,359,50,64,39
f (2).jpg,5,2024_06_01_15-27-40.690,180,32,63,41
m (2).jpg,5,2024_06_01_15-27-40.692,109,24,59,47
m (2).jpg,6,2024_06_01_15-27-41.210,126,241,58,35
v (3).jpg,6,2024_06_01_15-27-41.215,438,239,53,54
b (1).jpg,6,2024_06_01_15-27-41.216,293,232,69,40
f (2).jpg,6,2024_06_01_15-27-41.218,488,139,36,53
m (3).jpg,6,2024_06_01_15-27-41.220,416,127,64,41
v (3).jpg,6,2024_06_01_15-27-41.229,52,74,40,53
b (5).jpg,6,2024_06_01_15-27-41.230,399,49,57,34
f (4).jpg,6,2024_06_01_15-27-41.247,213,44,59,44
m (2).jpg,6,2024_06_01_15-27-41.249,140,20,62,39
m (3).jpg,7,2024_06_01_15-27-41.770,404,269,54,34
v (4).jpg,7,2024_06_01_15-27-41.772,264,229,56,35
b (1).jpg,7,2024_06_01_15-27-41.773,100,224,45,48
f (3).jpg,7,2024_06_01_15-27-41.775,480,168,40,62
m (2).jpg,7,2024_06_01_15-27-41.780,455,128,49,48
v (4).jpg,7,2024_06_01_15-27-41.783,244,63,56,39
b (4).jpg,7,2024_06_01_15-27-41.785,435,56,47,48
f (2).jpg,7,2024_06_01_15-27-41.787,60,45,45,52
